Mode,Measure Names,Year,Trade Type ,Measure Values
Other and Unknown,Value (billions of 2017 $),2017,Import,11.844279239
Pipeline,Value (billions of 2017 $),2017,Import,63.441071352
Multiple Dms Modes and Mail,Value (billions of 2017 $),2017,Import,1037.256720546
Air (includes truck-air),Value (billions of 2017 $),2017,Import,571.165430049
Water,Value (billions of 2017 $),2017,Import,120.535700769
Rail,Value (billions of 2017 $),2017,Import,113.051468326
Truck,Value (billions of 2017 $),2017,Import,352.710830141
Other and Unknown,Value (billions of 2017 $),2017,Export,31.099794988
Pipeline,Value (billions of 2017 $),2017,Export,14.331198124
Multiple Dms Modes and Mail,Value (billions of 2017 $),2017,Export,526.504329656
Air (includes truck-air),Value (billions of 2017 $),2017,Export,495.735251418
Water,Value (billions of 2017 $),2017,Export,55.364840077
Rail,Value (billions of 2017 $),2017,Export,64.117988629
Truck,Value (billions of 2017 $),2017,Export,367.878810049
Other and Unknown,Value (billions of 2017 $),2017,Domestic,2.09500988
Pipeline,Value (billions of 2017 $),2017,Domestic,850.678110887
Multiple Dms Modes and Mail,Value (billions of 2017 $),2017,Domestic,2361.940808661
Air (includes truck-air),Value (billions of 2017 $),2017,Domestic,159.12940903
Water,Value (billions of 2017 $),2017,Domestic,184.014104151
Rail,Value (billions of 2017 $),2017,Domestic,227.300482971
Truck,Value (billions of 2017 $),2017,Domestic,11296.588771151
Other and Unknown,Value (billions of 2017 $),2018,Import,4.564744571
Pipeline,Value (billions of 2017 $),2018,Import,46.794451393
Multiple Dms Modes and Mail,Value (billions of 2017 $),2018,Import,1082.231419798
Air (includes truck-air),Value (billions of 2017 $),2018,Import,600.361021830
Water,Value (billions of 2017 $),2018,Import,103.684740543
Rail,Value (billions of 2017 $),2018,Import,111.75729871
Truck,Value (billions of 2017 $),2018,Import,386.153228533
Other and Unknown,Value (billions of 2017 $),2018,Export,13.47454431
Pipeline,Value (billions of 2017 $),2018,Export,13.957607693
Multiple Dms Modes and Mail,Value (billions of 2017 $),2018,Export,536.042724612
Air (includes truck-air),Value (billions of 2017 $),2018,Export,541.228451601
Water,Value (billions of 2017 $),2018,Export,49.701558860
Rail,Value (billions of 2017 $),2018,Export,66.464724609
Truck,Value (billions of 2017 $),2018,Export,367.663739354
Other and Unknown,Value (billions of 2017 $),2018,Domestic,2.051460101
Pipeline,Value (billions of 2017 $),2018,Domestic,915.672145906
Multiple Dms Modes and Mail,Value (billions of 2017 $),2018,Domestic,2372.875321153
Air (includes truck-air),Value (billions of 2017 $),2018,Domestic,160.273590627
Water,Value (billions of 2017 $),2018,Domestic,188.558972092
Rail,Value (billions of 2017 $),2018,Domestic,232.661184427
Truck,Value (billions of 2017 $),2018,Domestic,11465.670645673
Other and Unknown,Value (billions of 2017 $),2019,Import,5.216755894
Pipeline,Value (billions of 2017 $),2019,Import,53.947691932
Multiple Dms Modes and Mail,Value (billions of 2017 $),2019,Import,1056.47305882
Air (includes truck-air),Value (billions of 2017 $),2019,Import,586.399199638
Water,Value (billions of 2017 $),2019,Import,85.591021637
Rail,Value (billions of 2017 $),2019,Import,113.763111657
Truck,Value (billions of 2017 $),2019,Import,388.325829364
Other and Unknown,Value (billions of 2017 $),2019,Export,12.328403415
Pipeline,Value (billions of 2017 $),2019,Export,14.364782188
Multiple Dms Modes and Mail,Value (billions of 2017 $),2019,Export,558.732492685
Air (includes truck-air),Value (billions of 2017 $),2019,Export,513.681332447
Water,Value (billions of 2017 $),2019,Export,47.151435942
Rail,Value (billions of 2017 $),2019,Export,67.44343083
Truck,Value (billions of 2017 $),2019,Export,359.2329592
Other and Unknown,Value (billions of 2017 $),2019,Domestic,1.95919821
Pipeline,Value (billions of 2017 $),2019,Domestic,929.249290818
Multiple Dms Modes and Mail,Value (billions of 2017 $),2019,Domestic,2343.300175973
Air (includes truck-air),Value (billions of 2017 $),2019,Domestic,149.966941489
Water,Value (billions of 2017 $),2019,Domestic,181.702615345
Rail,Value (billions of 2017 $),2019,Domestic,225.807571112
Truck,Value (billions of 2017 $),2019,Domestic,11295.327128285
