Year,Distance band (miles),Measure Names,Measure Values
2017,"Over 2,000",% of Total Running Sum of ton-miles (millions),1
2017,"1,500 - 2,000",% of Total Running Sum of ton-miles (millions),0.888010893
2017,"1,000 - 1,499",% of Total Running Sum of ton-miles (millions),0.802077186
2017,750 - 999,% of Total Running Sum of ton-miles (millions),0.610357218
2017,500 - 749,% of Total Running Sum of ton-miles (millions),0.509104621
2017,250 - 499,% of Total Running Sum of ton-miles (millions),0.424727635
2017,100 - 240,% of Total Running Sum of ton-miles (millions),0.271147670
2017,Below 100,% of Total Running Sum of ton-miles (millions),0.055645979
2017,"Over 2,000",% of Total ton-miles (millions),0.111989107
2017,"1,500 - 2,000",% of Total ton-miles (millions),0.085933708
2017,"1,000 - 1,499",% of Total ton-miles (millions),0.191719968
2017,750 - 999,% of Total ton-miles (millions),0.101252596
2017,500 - 749,% of Total ton-miles (millions),0.084376987
2017,250 - 499,% of Total ton-miles (millions),0.153579965
2017,100 - 240,% of Total ton-miles (millions),0.215501691
2017,Below 100,% of Total ton-miles (millions),0.055645979
2017,"Over 2,000",ton-miles (millions),608807.310613999
2017,"1,500 - 2,000",ton-miles (millions),467162.1292
2017,"1,000 - 1,499",ton-miles (millions),1042248.853488
2017,750 - 999,ton-miles (millions),550440.330667
2017,500 - 749,ton-miles (millions),458699.313332999
2017,250 - 499,ton-miles (millions),834908.038936002
2017,100 - 240,ton-miles (millions),1171533.631518
2017,Below 100,ton-miles (millions),302508.696150999
2017,"Over 2,000",% of Total Running Sum of Tons (thousands),1
2017,"1,500 - 2,000",% of Total Running Sum of Tons (thousands),0.988240384
2017,"1,000 - 1,499",% of Total Running Sum of Tons (thousands),0.974432381
2017,750 - 999,% of Total Running Sum of Tons (thousands),0.931698583
2017,500 - 749,% of Total Running Sum of Tons (thousands),0.899547011
2017,250 - 499,% of Total Running Sum of Tons (thousands),0.861649364
2017,100 - 240,% of Total Running Sum of Tons (thousands),0.739260942
2017,Below 100,% of Total Running Sum of Tons (thousands),0.369101697
2017,"Over 2,000",% of Total Tons (thousands),0.011759616
2017,"1,500 - 2,000",% of Total Tons (thousands),0.013808004
2017,"1,000 - 1,499",% of Total Tons (thousands),0.042733798
2017,750 - 999,% of Total Tons (thousands),0.032151572
2017,500 - 749,% of Total Tons (thousands),0.037897646
2017,250 - 499,% of Total Tons (thousands),0.122388423
2017,100 - 240,% of Total Tons (thousands),0.370159245
2017,Below 100,% of Total Tons (thousands),0.369101697
2017,"Over 2,000",Tons (thousands),232680.275425
2017,"1,500 - 2,000",Tons (thousands),273210.475894
2017,"1,000 - 1,499",Tons (thousands),845547.364566996
2017,750 - 999,Tons (thousands),636163.365816001
2017,500 - 749,Tons (thousands),749857.403783001
2017,250 - 499,Tons (thousands),2421624.401663
2017,100 - 240,Tons (thousands),7324113.18414999
2017,Below 100,Tons (thousands),7303188.14012701
2017,"Over 2,000",% of Total Running Sum of Value (millions of 2017 $),1
2017,"1,500 - 2,000",% of Total Running Sum of Value (millions of 2017 $),0.935293329
2017,"1,000 - 1,499",% of Total Running Sum of Value (millions of 2017 $),0.898098181
2017,750 - 999,% of Total Running Sum of Value (millions of 2017 $),0.828116138
2017,500 - 749,% of Total Running Sum of Value (millions of 2017 $),0.772135893
2017,250 - 499,% of Total Running Sum of Value (millions of 2017 $),0.703967924
2017,100 - 240,% of Total Running Sum of Value (millions of 2017 $),0.558342283
2017,Below 100,% of Total Running Sum of Value (millions of 2017 $),0.301910253
2017,"Over 2,000",% of Total Value (millions of 2017 $),0.064706671
2017,"1,500 - 2,000",% of Total Value (millions of 2017 $),0.037195148
2017,"1,000 - 1,499",% of Total Value (millions of 2017 $),0.069982043
2017,750 - 999,% of Total Value (millions of 2017 $),0.055980245
2017,500 - 749,% of Total Value (millions of 2017 $),0.068167969
2017,250 - 499,% of Total Value (millions of 2017 $),0.145625641
2017,100 - 240,% of Total Value (millions of 2017 $),0.256432030
2017,Below 100,% of Total Value (millions of 2017 $),0.301910253
2017,"Over 2,000",Value (millions of 2017 $),1223395.08468
2017,"1,500 - 2,000",Value (millions of 2017 $),703240.63647
2017,"1,000 - 1,499",Value (millions of 2017 $),1323135.407779
2017,750 - 999,Value (millions of 2017 $),1058406.418842
2017,500 - 749,Value (millions of 2017 $),1288837.099043
2017,250 - 499,Value (millions of 2017 $),2753312.596948
2017,100 - 240,Value (millions of 2017 $),4848305.109686
2017,Below 100,Value (millions of 2017 $),5708152.05664601
2018,"Over 2,000",% of Total Running Sum of ton-miles (millions),1
2018,"1,500 - 2,000",% of Total Running Sum of ton-miles (millions),0.892213371
2018,"1,000 - 1,499",% of Total Running Sum of ton-miles (millions),0.806292036
