Year,Mode,Measure,Trade Type,Value
2017,Water,Billions of U.S. Dollars,Total trade,1601.744879046
2017,Truck,Billions of U.S. Dollars,Total trade,720.827338586
2017,"Total, all modes",Billions of U.S. Dollars,Total trade,3886.786732698
2017,Rail,Billions of U.S. Dollars,Total trade,174.143257763
2017,Pipeline,Billions of U.S. Dollars,Total trade,65.243615324
2017,Other/unknown,Billions of U.S. Dollars,Total trade,256.064340752
2017,Air,Billions of U.S. Dollars,Total trade,1068.763301227
2017,Water,Billions of U.S. Dollars,Imports,1075.567451635
2017,Truck,Billions of U.S. Dollars,Imports,369.863325966
2017,"Total, all modes",Billions of U.S. Dollars,Imports,2339.591330018
2017,Rail,Billions of U.S. Dollars,Imports,113.537252864
2017,Pipeline,Billions of U.S. Dollars,Imports,51.787905649
2017,Other/unknown,Billions of U.S. Dollars,Imports,122.587537656
2017,Air,Billions of U.S. Dollars,Imports,606.247856248
2017,Water,Billions of U.S. Dollars,Exports,526.177427411
2017,Truck,Billions of U.S. Dollars,Exports,350.96401262
2017,"Total, all modes",Billions of U.S. Dollars,Exports,1547.19540268
2017,Rail,Billions of U.S. Dollars,Exports,60.606004899
2017,Pipeline,Billions of U.S. Dollars,Exports,13.455709675
2017,Other/unknown,Billions of U.S. Dollars,Exports,133.476803096
2017,Air,Billions of U.S. Dollars,Exports,462.515444979
2017,Water,Millions of Short Tons,Total trade,1527.153166617
2017,Truck,Millions of Short Tons,Total trade,223.359196591
2017,"Total, all modes",Millions of Short Tons,Total trade,2173.123763502
2017,Rail,Millions of Short Tons,Total trade,170.192722734
2017,Pipeline,Millions of Short Tons,Total trade,223.218104497
2017,Other/unknown,Millions of Short Tons,Total trade,20.365434694
2017,Air,Millions of Short Tons,Total trade,8.835138369
2017,Water,Millions of Short Tons,Imports,752.125248245
2017,Truck,Millions of Short Tons,Imports,109.111123900
2017,"Total, all modes",Millions of Short Tons,Imports,1142.597946337
2017,Rail,Millions of Short Tons,Imports,97.747597555
2017,Pipeline,Millions of Short Tons,Imports,172.275575173
2017,Other/unknown,Millions of Short Tons,Imports,6.144433543
2017,Air,Millions of Short Tons,Imports,5.193967921
2017,Water,Millions of Short Tons,Exports,775.027918372
2017,Truck,Millions of Short Tons,Exports,
2017,"Total, all modes",Millions of Short Tons,Exports,1030.525817165
2017,Rail,Millions of Short Tons,Exports,
2017,Pipeline,Millions of Short Tons,Exports,
2017,Other/unknown,Millions of Short Tons,Exports,
2017,Air,Millions of Short Tons,Exports,3.641170447
