Date,Transborder - U.S. - Canada Freight,Value
01/01/2006 12:00:00 AM,43476817678,43.476817678
02/01/2006 12:00:00 AM,42490966264.00000,42.49097
03/01/2006 12:00:00 AM,47704237074,47.704237074
04/01/2006 12:00:00 AM,44394093279,44.394093279
05/01/2006 12:00:00 AM,46935391696,46.935391696
06/01/2006 12:00:00 AM,46933489924,46.933489924
07/01/2006 12:00:00 AM,39241390586,39.241390586
08/01/2006 12:00:00 AM,46625569148,46.625569148
09/01/2006 12:00:00 AM,44192752134,44.192752134
10/01/2006 12:00:00 AM,45435132904.00000,45.43513
11/01/2006 12:00:00 AM,44379364230,44.37936423
12/01/2006 12:00:00 AM,41863841325,41.863841325
01/01/2007 12:00:00 AM,42232572709,42.232572709
02/01/2007 12:00:00 AM,41312940772,41.312940772
03/01/2007 12:00:00 AM,49051682255,49.051682255
04/01/2007 12:00:00 AM,46216165389,46.216165389
05/01/2007 12:00:00 AM,48765989963,48.765989963
06/01/2007 12:00:00 AM,49488258786,49.488258786
07/01/2007 12:00:00 AM,43246919858,43.246919858
08/01/2007 12:00:00 AM,47558442156,47.558442156
09/01/2007 12:00:00 AM,47309323637,47.309323637
10/01/2007 12:00:00 AM,52157414556,52.157414556
11/01/2007 12:00:00 AM,49974701168,49.974701168
12/01/2007 12:00:00 AM,44233631642,44.233631642
01/01/2008 12:00:00 AM,46683386800,46.6833868
02/01/2008 12:00:00 AM,48855673023,48.855673023
03/01/2008 12:00:00 AM,52150702981,52.150702981
04/01/2008 12:00:00 AM,54451524593,54.451524593
05/01/2008 12:00:00 AM,54400458705,54.400458705
06/01/2008 12:00:00 AM,54668936116,54.668936116
07/01/2008 12:00:00 AM,53016122791,53.016122791
08/01/2008 12:00:00 AM,51792201240.00000,51.79220
09/01/2008 12:00:00 AM,52095381541,52.095381541
10/01/2008 12:00:00 AM,49983355870,49.98335587
11/01/2008 12:00:00 AM,41767056787,41.767056787
12/01/2008 12:00:00 AM,36604833160,36.60483316
01/01/2009 12:00:00 AM,32008803519,32.008803519
02/01/2009 12:00:00 AM,33022282756.000000,33.022283
03/01/2009 12:00:00 AM,34429247325,34.429247325
04/01/2009 12:00:00 AM,33481765463,33.481765463
05/01/2009 12:00:00 AM,32785723957,32.785723957
06/01/2009 12:00:00 AM,35109816701,35.109816701
07/01/2009 12:00:00 AM,34911124295,34.911124295
08/01/2009 12:00:00 AM,36828445398,36.828445398
09/01/2009 12:00:00 AM,38371873357,38.371873357
10/01/2009 12:00:00 AM,40307059900,40.3070599
11/01/2009 12:00:00 AM,38692861679,38.692861679
12/01/2009 12:00:00 AM,39638095538,39.638095538
01/01/2010 12:00:00 AM,38892509565,38.892509565
02/01/2010 12:00:00 AM,39778237297,39.778237297
03/01/2010 12:00:00 AM,46505506313,46.505506313
04/01/2010 12:00:00 AM,44627170707,44.627170707
05/01/2010 12:00:00 AM,45029445400.00000,45.02945
