Month of Date,Diesel,Jet Fuel
January 2000,$135.60,$78.10
February 2000,$146.10,$78.00
March 2000,$147.90,$77.10
April 2000,$142.20,$71.90
May 2000,$142.00,$76.20
June 2000,$142.10,$78.50
July 2000,$143.40,$79.60
August 2000,$146.60,$90.00
September 2000,$163.70,$101.70
October 2000,$163.70,$98.20
November 2000,$162.10,$102.80
December 2000,$156.50,$86.30
January 2001,$152.40,$87.00
February 2001,$149.20,$81.50
March 2001,$139.90,$74.80
April 2001,$142.20,$77.00
May 2001,$149.60,$82.10
June 2001,$148.20,$76.70
July 2001,$137.50,$71.10
August 2001,$139.00,$76.40
September 2001,$149.50,$73.80
October 2001,$134.80,$62.20
November 2001,$125.90,$54.30
December 2001,$116.70,$51.50
January 2002,$115.30,$53.30
February 2002,$115.20,$55.10
March 2002,$123.00,$63.00
April 2002,$130.90,$66.90
May 2002,$130.50,$66.60
June 2002,$128.60,$65.30
July 2002,$129.90,$69.10
August 2002,$132.80,$72.20
September 2002,$141.10,$80.00
October 2002,$146.20,$79.00
November 2002,$142.00,$70.80
December 2002,$142.90,$81.10
January 2003,$148.80,$88.70
February 2003,$165.40,$105.50
March 2003,$170.80,$89.30
April 2003,$153.30,$74.30
May 2003,$145.10,$71.40
June 2003,$142.40,$74.80
July 2003,$143.50,$78.00
August 2003,$148.70,$82.30
September 2003,$146.70,$73.80
October 2003,$148.10,$82.00
November 2003,$148.20,$83.10
December 2003,$149.00,$87.60
January 2004,$155.10,$99.80
February 2004,$158.20,$93.30
March 2004,$162.90,$94.70
April 2004,$169.20,$97.30
May 2004,$174.60,$109.20
June 2004,$171.10,$103.20
July 2004,$173.90,$114.50
August 2004,$183.30,$122.70
September 2004,$191.70,$136.20
October 2004,$213.40,$152.00
November 2004,$214.70,$134.70
December 2004,$200.90,$122.30
January 2005,$195.90,$133.40
February 2005,$202.70,$133.40
March 2005,$221.40,$156.20
April 2005,$229.20,$157.30
May 2005,$219.90,$147.10
June 2005,$229.00,$165.40
July 2005,$237.30,$166.50
August 2005,$250.00,$187.40
September 2005,$281.90,$223.20
October 2005,$309.50,$239.80
November 2005,$257.30,$169.80
December 2005,$244.30,$172.70
January 2006,$246.70,$181.60
February 2006,$247.50,$175.40
March 2006,$255.90,$187.50
April 2006,$272.80,$207.40
May 2006,$289.70,$207.00
June 2006,$289.80,$208.10
July 2006,$293.40,$215.40
August 2006,$304.50,$213.30
September 2006,$278.30,$181.00
October 2006,$251.90,$173.90
November 2006,$254.50,$173.30
December 2006,$261.00,$181.00
January 2007,$248.50,$165.40
February 2007,$248.80,$174.00
March 2007,$266.70,$184.60
April 2007,$283.40,$203.60
May 2007,$279.60,$204.40
June 2007,$280.80,$209.90
July 2007,$286.80,$213.70
August 2007,$286.90,$209.20
September 2007,$295.30,$226.50
October 2007,$307.50,$237.20
November 2007,$339.60,$267.30
December 2007,$334.10,$260.10
January 2008,$330.80,$260.50
February 2008,$337.70,$272.80
March 2008,$388.10,$312.40
April 2008,$408.40,$336.50
May 2008,$442.50,$373.80
June 2008,$467.70,$387.80
July 2008,$470.30,$388.60
August 2008,$430.20,$327.10
September 2008,$402.40,$337.50
October 2008,$357.60,$231.50
November 2008,$287.60,$188.00
December 2008,$244.90,$137.50
January 2009,$229.20,$146.90
February 2009,$219.50,$125.90
March 2009,$209.20,$126.80
April 2009,$222.00,$136.90
May 2009,$222.70,$148.80
June 2009,$252.90,$180.50
July 2009,$254.00,$171.20
August 2009,$263.40,$188.50
September 2009,$262.60,$174.90
October 2009,$267.20,$194.20
November 2009,$279.20,$198.60
December 2009,$274.50,$197.90
January 2010,$284.50,$205.20
February 2010,$278.50,$198.90
March 2010,$291.50,$210.80
April 2010,$305.90,$224.30
May 2010,$306.90,$206.30
June 2010,$294.80,$205.80
July 2010,$291.10,$201.90
August 2010,$295.90,$208.30
September 2010,$294.60,$211.40
October 2010,$305.20,$224.80
November 2010,$314.00,$232.30
December 2010,$324.30,$245.30
January 2011,$338.80,$261.90
February 2011,$358.40,$283.90
March 2011,$390.50,$312.50
April 2011,$406.40,$326.70
May 2011,$404.70,$308.50
June 2011,$393.30,$304.60
July 2011,$390.50,$313.10
August 2011,$386.00,$300.80
September 2011,$383.70,$294.80
October 2011,$379.80,$296.60
November 2011,$396.20,$304.60
December 2011,$386.10,$287.30
January 2012,$383.30,$308.70
February 2012,$395.30,$320.70
March 2012,$412.70,$325.60
April 2012,$411.50,$322.60
May 2012,$397.90,$297.40
June 2012,$375.90,$267.80
July 2012,$372.10,$289.20
August 2012,$398.30,$315.60
September 2012,$412.00,$319.10
October 2012,$409.40,$311.10
November 2012,$400.00,$296.00
December 2012,$396.10,$294.00
January 2013,$390.90,$309.10
February 2013,$411.10,$321.80
March 2013,$406.80,$296.90
April 2013,$393.00,$280.80
May 2013,$387.00,$272.50
June 2013,$384.90,$276.90
July 2013,$386.60,$289.40
August 2013,$390.50,$300.30
September 2013,$396.10,$293.40
October 2013,$388.50,$288.50
November 2013,$383.90,$283.00
December 2013,$388.20,$295.50
January 2014,$389.30,$292.10
February 2014,$398.40,$296.50
March 2014,$400.10,$289.00
April 2014,$396.40,$288.80
May 2014,$394.30,$286.80
June 2014,$390.60,$288.30
July 2014,$388.40,$281.70
August 2014,$383.80,$283.90
September 2014,$379.20,$272.90
October 2014,$368.10,$246.00
November 2014,$364.70,$229.70
December 2014,$341.10,$180.10
January 2015,$299.70,$149.60
February 2015,$285.80,$176.60
March 2015,$289.70,$162.90
April 2015,$278.20,$170.20
May 2015,$288.80,$184.90
June 2015,$287.30,$173.20
July 2015,$278.80,$154.90
August 2015,$259.50,$138.90
September 2015,$250.50,$139.50
October 2015,$251.90,$139.10
November 2015,$246.70,$132.60
December 2015,$231.00,$108.20
January 2016,$214.30,$93.00
February 2016,$199.80,$97.30
March 2016,$209.00,$106.90
April 2016,$215.20,$114.70
May 2016,$231.50,$129.90
June 2016,$242.30,$138.20
July 2016,$240.50,$127.20
August 2016,$235.10,$129.50
September 2016,$239.40,$131.90
October 2016,$245.40,$145.70
November 2016,$243.90,$135.60
December 2016,$251.00,$149.10
January 2017,$258.00,$151.40
February 2017,$256.80,$154.70
March 2017,$255.40,$144.50
April 2017,$258.30,$151.00
May 2017,$256.00,$141.20
June 2017,$251.10,$129.50
July 2017,$249.60,$141.70
August 2017,$259.50,$156.10
September 2017,$278.50,$180.00
October 2017,$279.40,$165.90
November 2017,$290.90,$176.00
December 2017,$290.90,$181.70
January 2018,$301.80,$195.20
February 2018,$304.60,$184.90
March 2018,$298.80,$185.80
April 2018,$309.60,$201.50
May 2018,$324.40,$215.50
June 2018,$325.30,$209.00
July 2018,$323.30,$209.80
August 2018,$321.80,$211.80
September 2018,$326.20,$218.90
October 2018,$336.50,$224.90
November 2018,$330.00,$194.50
December 2018,$312.30,$169.60
January 2019,$298.00,$178.40
February 2019,$299.70,$191.40
March 2019,$307.60,$190.20
April 2019,$312.10,$197.70
May 2019,$316.10,$197.20
June 2019,$308.90,$181.70
July 2019,$304.50,$191.30
August 2019,$300.50,$180.00
September 2019,$301.60,$187.40
October 2019,$305.30,$186.10
November 2019,$306.90,$182.40
December 2019,$305.50,$189.30
January 2020,$304.80,$177.00
February 2020,$291.00,$150.90
March 2020,$272.90,$95.30
April 2020,$249.30,$60.60
May 2020,$239.20,$68.60
June 2020,$240.80,$98.30
July 2020,$243.40,$108.40
August 2020,$242.90,$111.20
September 2020,$241.40,$100.60
October 2020,$238.90,$104.70
November 2020,$243.20,$113.30
December 2020,$258.50,$132.40
January 2021,$268.10,$142.00
February 2021,$284.70,$160.10
March 2021,$315.20,$166.10
April 2021,$313.00,$166.90
May 2021,$321.70,$175.20
June 2021,$328.70,$185.70
July 2021,$333.90,$188.70
August 2021,$335.00,$181.70
September 2021,$338.40,$200.30
October 2021,$361.20,$229.60
November 2021,$372.70,$219.30
December 2021,$364.10,$209.50
January 2022,$372.40,$244.60
February 2022,$403.20,$268.20
March 2022,$510.50,$349.50
April 2022,$512.00,$391.40
May 2022,$557.10,$390.20
June 2022,$575.40,$412.00
July 2022,$548.60,$347.80
August 2022,$501.30,$333.90
September 2022,$499.30,$326.20
October 2022,$521.10,$371.50
November 2022,$525.50,$316.00
December 2022,$471.40,$289.70
January 2023,$457.60,$354.20
February 2023,$441.30,$279.00
March 2023,$421.10,$267.90
April 2023,$409.90,$237.40
May 2023,$391.50,$217.30
June 2023,$380.20,$225.00
July 2023,$388.20,$248.80
