Date,U.S. Air Carrier Cargo (millions of revenue ton-miles) - International,U.S. Air Carrier Cargo (millions of revenue ton-miles) - Domestic
10/01/2002 12:00:00 AM,1887141507.1600000,1458665510.57
11/01/2002 12:00:00 AM,1778562018.4900000,1296240597.46
12/01/2002 12:00:00 AM,1548068208.99,1262516094.7
01/01/2003 12:00:00 AM,1395876124.46,1177784627.07
02/01/2003 12:00:00 AM,1366616979.16,1079560803.02
03/01/2003 12:00:00 AM,1691870398.29,1233952636.56
04/01/2003 12:00:00 AM,1524836689.03,1208202410.59
05/01/2003 12:00:00 AM,1489449316.58,1243021283.97
06/01/2003 12:00:00 AM,1473213693.6100000,1207784770.6
07/01/2003 12:00:00 AM,1530099893.5,1263990903.99
08/01/2003 12:00:00 AM,1501194158.97,1318439467.84
09/01/2003 12:00:00 AM,1471921445.69,1276318486.6
10/01/2003 12:00:00 AM,1644433897.6300000,1460484715.8
11/01/2003 12:00:00 AM,1669628700.82,1338769587.99
12/01/2003 12:00:00 AM,1549080657.2200000,1424215600.93
01/01/2004 12:00:00 AM,1384090324.49,1234820473.74
02/01/2004 12:00:00 AM,1560915540.9300000,1264421878.2
03/01/2004 12:00:00 AM,1852849723.39,1416580270.72
04/01/2004 12:00:00 AM,1743325362.78,1343959445.61
05/01/2004 12:00:00 AM,1759024876.27,1324741910.12
06/01/2004 12:00:00 AM,1750233211.7000000,1330791002.2500000
07/01/2004 12:00:00 AM,1828606943.33,1359617810.2500000
08/01/2004 12:00:00 AM,1781455880.81,1331532716.55
09/01/2004 12:00:00 AM,1852678025.28,1393406684.61
10/01/2004 12:00:00 AM,1989881545.47,1527977947.88
11/01/2004 12:00:00 AM,2040340223.5300000,1397972935.51
12/01/2004 12:00:00 AM,1958533678.31,1526983769.34
01/01/2005 12:00:00 AM,1696943758.9100000,1280515593.56
02/01/2005 12:00:00 AM,1561958529.8600000,1253130189.92
03/01/2005 12:00:00 AM,1958161775.53,1469764699.28
04/01/2005 12:00:00 AM,2078221975.9,1226824174.27
05/01/2005 12:00:00 AM,1925489196.69,1261164593.01
