location,date,total_cases_per_million,new_cases_per_million
United States,2020-01-05,,0.0
United States,2020-01-12,,0.0
United States,2020-01-19,,0.0
United States,2020-01-26,0.021,0.021
United States,2020-02-02,0.027,0.006
United States,2020-02-09,0.059,0.033
United States,2020-02-16,0.071,0.012
United States,2020-02-23,0.118,0.047
United States,2020-03-01,0.216,0.098
United States,2020-03-02,,
United States,2020-03-03,,
United States,2020-03-04,,
United States,2020-03-05,,
United States,2020-03-06,,
United States,2020-03-07,,
United States,2020-03-08,1.372,1.156
United States,2020-03-09,,
United States,2020-03-10,,
United States,2020-03-11,,
United States,2020-03-12,,
United States,2020-03-13,,
United States,2020-03-14,,
United States,2020-03-15,11.614,10.243
United States,2020-03-16,,
United States,2020-03-17,,
United States,2020-03-18,,
United States,2020-03-19,,
United States,2020-03-20,,
United States,2020-03-21,,
United States,2020-03-22,92.864,81.25
United States,2020-03-23,,
United States,2020-03-24,,
United States,2020-03-25,,
United States,2020-03-26,,
United States,2020-03-27,,
United States,2020-03-28,,
United States,2020-03-29,373.375,280.511
United States,2020-03-30,,
United States,2020-03-31,,
United States,2020-04-01,,
United States,2020-04-02,,
United States,2020-04-03,,
United States,2020-04-04,,
United States,2020-04-05,894.085,520.71
United States,2020-04-06,,
United States,2020-04-07,,
United States,2020-04-08,,
United States,2020-04-09,,
United States,2020-04-10,,
United States,2020-04-11,,
United States,2020-04-12,1541.968,647.882
United States,2020-04-13,,
United States,2020-04-14,,
United States,2020-04-15,,
United States,2020-04-16,,
United States,2020-04-17,,
United States,2020-04-18,,
United States,2020-04-19,2121.796,579.828
United States,2020-04-20,,
United States,2020-04-21,,
United States,2020-04-22,,
United States,2020-04-23,,
United States,2020-04-24,,
United States,2020-04-25,,
United States,2020-04-26,2728.273,606.477
United States,2020-04-27,,
United States,2020-04-28,,
United States,2020-04-29,,
United States,2020-04-30,,
United States,2020-05-01,,
United States,2020-05-02,,
United States,2020-05-03,3314.858,586.586
United States,2020-05-04,,
United States,2020-05-05,,
United States,2020-05-06,,
United States,2020-05-07,,
United States,2020-05-08,,
United States,2020-05-09,,
United States,2020-05-10,3853.586,538.727
United States,2020-05-11,,
United States,2020-05-12,,
United States,2020-05-13,,
United States,2020-05-14,,
United States,2020-05-15,,
United States,2020-05-16,,
United States,2020-05-17,4353.252,499.666
United States,2020-05-18,,
United States,2020-05-19,,
United States,2020-05-20,,
United States,2020-05-21,,
United States,2020-05-22,,
United States,2020-05-23,,
United States,2020-05-24,4844.916,491.664
United States,2020-05-25,,
United States,2020-05-26,,
United States,2020-05-27,,
United States,2020-05-28,,
United States,2020-05-29,,
United States,2020-05-30,,
United States,2020-05-31,5277.788,432.871
United States,2020-06-01,,
United States,2020-06-02,,
United States,2020-06-03,,
United States,2020-06-04,,
United States,2020-06-05,,
United States,2020-06-06,,
United States,2020-06-07,5720.544,442.756
United States,2020-06-08,,
United States,2020-06-09,,
United States,2020-06-10,,
United States,2020-06-11,,
United States,2020-06-12,,
United States,2020-06-13,,
United States,2020-06-14,6169.496,448.952
United States,2020-06-15,,
United States,2020-06-16,,
United States,2020-06-17,,
United States,2020-06-18,,
United States,2020-06-19,,
United States,2020-06-20,,
United States,2020-06-21,6701.646,532.15
United States,2020-06-22,,
United States,2020-06-23,,
United States,2020-06-24,,
United States,2020-06-25,,
United States,2020-06-26,,
United States,2020-06-27,,
United States,2020-06-28,7465.128,763.481
United States,2020-06-29,,
United States,2020-06-30,,
United States,2020-07-01,,
United States,2020-07-02,,
United States,2020-07-03,,
United States,2020-07-04,,
United States,2020-07-05,8476.586,1011.458
United States,2020-07-06,,
United States,2020-07-07,,
United States,2020-07-08,,
United States,2020-07-09,,
United States,2020-07-10,,
United States,2020-07-11,,
United States,2020-07-12,9635.961,1159.376
United States,2020-07-13,,
United States,2020-07-14,,
United States,2020-07-15,,
United States,2020-07-16,,
United States,2020-07-17,,
United States,2020-07-18,,
United States,2020-07-19,11014.268,1378.306
United States,2020-07-20,,
United States,2020-07-21,,
United States,2020-07-22,,
United States,2020-07-23,,
United States,2020-07-24,,
United States,2020-07-25,,
United States,2020-07-26,12397.404,1383.136
United States,2020-07-27,,
United States,2020-07-28,,
United States,2020-07-29,,
United States,2020-07-30,,
United States,2020-07-31,,
United States,2020-08-01,,
United States,2020-08-02,13672.198,1274.794
United States,2020-08-03,,
United States,2020-08-04,,
United States,2020-08-05,,
United States,2020-08-06,,
United States,2020-08-07,,
United States,2020-08-08,,
United States,2020-08-09,14783.402,1111.204
United States,2020-08-10,,
United States,2020-08-11,,
United States,2020-08-12,,
United States,2020-08-13,,
United States,2020-08-14,,
United States,2020-08-15,,
United States,2020-08-16,15855.447,1072.045
United States,2020-08-17,,
United States,2020-08-18,,
United States,2020-08-19,,
United States,2020-08-20,,
United States,2020-08-21,,
United States,2020-08-22,,
United States,2020-08-23,16788.931,933.484
United States,2020-08-24,,
United States,2020-08-25,,
United States,2020-08-26,,
United States,2020-08-27,,
United States,2020-08-28,,
United States,2020-08-29,,
United States,2020-08-30,17660.804,871.874
United States,2020-08-31,,
United States,2020-09-01,,
United States,2020-09-02,,
United States,2020-09-03,,
United States,2020-09-04,,
United States,2020-09-05,,
United States,2020-09-06,18533.586,872.781
United States,2020-09-07,,
United States,2020-09-08,,
United States,2020-09-09,,
