Date,Transportation Employment - Pipeline Transportation,Transportation Employment - Water Transportation,Transportation Employment - Rail Transportation,Transportation Employment - Air Transportation,Transportation Employment - Transit and ground passenger transportation,Transportation Employment - Truck Transportation
01/01/2005 12:00:00 AM,38100,55500,191000,505200,407900,1348500
02/01/2005 12:00:00 AM,37700,55100,191400,503400,407700,1349000
03/01/2005 12:00:00 AM,37600,56700,191900,504200,409200,1359900
04/01/2005 12:00:00 AM,37800,59400,193300,507300,413700,1377300
05/01/2005 12:00:00 AM,37500,61100,193900,507800,415300,1391700
06/01/2005 12:00:00 AM,37800,62600,193900,508300,383900,1418900
07/01/2005 12:00:00 AM,37900,62800,194000,506200,335600,1418600
08/01/2005 12:00:00 AM,38300,63800,192600,504800,328100,1423400
09/01/2005 12:00:00 AM,38200,62600,193200,495400,405000,1424000
10/01/2005 12:00:00 AM,37800,62500,192700,493100,411700,1426900
11/01/2005 12:00:00 AM,37600,62000,192300,487500,420000,1422400
12/01/2005 12:00:00 AM,37600,62600,191400,486000,418100,1414700
01/01/2006 12:00:00 AM,38200,61200,189100,483600,414700,1392200
02/01/2006 12:00:00 AM,38000,59600,189000,482000,418200,1387700
03/01/2006 12:00:00 AM,38300,60100,189200,483300,418400,1397800
04/01/2006 12:00:00 AM,38300,62100,191100,485300,418400,1416200
05/01/2006 12:00:00 AM,38600,62800,192400,486200,427400,1427100
06/01/2006 12:00:00 AM,38800,63800,193000,487500,405100,1452300
07/01/2006 12:00:00 AM,39300,64600,193600,488900,345400,1459000
08/01/2006 12:00:00 AM,39400,65200,192700,491200,338900,1464400
09/01/2006 12:00:00 AM,38600,64700,193600,490800,417400,1464800
10/01/2006 12:00:00 AM,39200,63400,193900,490200,421800,1463300
11/01/2006 12:00:00 AM,39000,62000,194700,484600,426700,1456100
12/01/2006 12:00:00 AM,39000,63300,196300,490100,425300,1453200
01/01/2007 12:00:00 AM,39800,61600,195600,487400,424100,1428600
02/01/2007 12:00:00 AM,39900,61400,197300,480100,429200,1417700
03/01/2007 12:00:00 AM,39900,61100,198400,483700,428000,1426200
04/01/2007 12:00:00 AM,39400,62300,198600,490600,428700,1430700
05/01/2007 12:00:00 AM,39800,64600,199200,484500,436000,1446100
06/01/2007 12:00:00 AM,39900,67700,197700,494300,410300,1462400
07/01/2007 12:00:00 AM,40100,68900,198300,495100,358800,1452300
08/01/2007 12:00:00 AM,40100,70200,199200,497100,356000,1454900
09/01/2007 12:00:00 AM,39600,68600,198000,496500,438500,1455600
10/01/2007 12:00:00 AM,40000,67300,196700,495300,443200,1446500
11/01/2007 12:00:00 AM,40200,66000,197100,497600,440200,1434300
12/01/2007 12:00:00 AM,40500,66400,195100,498800,440300,1420300
01/01/2008 12:00:00 AM,40300,65100,194200,499000,437000,1391900
02/01/2008 12:00:00 AM,40400,63200,194300,501800,439900,1377300
03/01/2008 12:00:00 AM,40500,62800,194600,502500,440800,1389800
04/01/2008 12:00:00 AM,40400,65500,195900,499700,448100,1394400
05/01/2008 12:00:00 AM,41500,67200,196600,498400,449100,1405100
06/01/2008 12:00:00 AM,42400,69900,194700,497200,431800,1410300
07/01/2008 12:00:00 AM,42900,71400,196500,493700,373800,1404300
08/01/2008 12:00:00 AM,42300,71100,196400,489000,371000,1409800
09/01/2008 12:00:00 AM,42500,69800,194400,482800,438600,1395200
10/01/2008 12:00:00 AM,42300,69200,196800,476900,445500,1386800
11/01/2008 12:00:00 AM,42500,65900,195900,475400,444800,1364500
12/01/2008 12:00:00 AM,42700,63700,194100,471900,444800,1343300
01/01/2009 12:00:00 AM,42200,63100,194400,467300,439600,1287600
02/01/2009 12:00:00 AM,42000,63200,191700,466200,442200,1274800
03/01/2009 12:00:00 AM,41700,63000,189600,466200,442800,1268700
04/01/2009 12:00:00 AM,42200,63300,188400,460100,440600,1257500
05/01/2009 12:00:00 AM,42000,63400,184800,462100,449200,1262900
06/01/2009 12:00:00 AM,42200,64000,182200,462500,436500,1277100
07/01/2009 12:00:00 AM,42200,64200,182900,463600,368100,1274300
08/01/2009 12:00:00 AM,42800,64800,182200,464800,360800,1276100
09/01/2009 12:00:00 AM,43600,64400,181100,462300,434000,1276000
10/01/2009 12:00:00 AM,43900,64000,180300,460600,441200,1266600
11/01/2009 12:00:00 AM,43800,61700,179000,459100,443600,1260700
12/01/2009 12:00:00 AM,43100,62200,178300,459100,440700,1240400
01/01/2010 12:00:00 AM,43400,60700,177200,459600,437200,1208100
02/01/2010 12:00:00 AM,43500,58100,177300,461500,435800,1200300
03/01/2010 12:00:00 AM,42400,60300,178300,461700,442800,1208300
04/01/2010 12:00:00 AM,42400,60500,179700,461300,443400,1220700
05/01/2010 12:00:00 AM,41700,62500,180300,460500,445700,1238700
